Components,Edges
['(881-2579)'],1
['(881-2594)'],1
['(881-2595)'],1
['(881-2771)'],1
['(881-2772)'],1
['(263-265)'],1
['(267-414)'],1
['(267-813)'],1
['(863-649)'],1
['(863-1481)'],1
['(863-2125)'],1
['(863-2740)'],1
['(863-2741)'],1
['(863-2742)'],1
['(14-809)'],1
['(2743-14)'],1
['(1022-1023)'],1
['(1022-1024)'],1
['(1025-99)'],1
['(689-609)'],1
['(689-691)'],1
['(689-692)'],1
['(902-1272)'],1
['(769-1335)'],1
['(769-2547)'],1
['(2670-666)'],1
['(769-2700)'],1
['(769-2701)'],1
['(2702-2419)'],1
['(2702-2566)'],1
['(2702-3007)'],1
['(3797-788)'],1
['(3797-1954)'],1
['(3797-2127)'],1
['(3797-3017)'],1
['(3797-3600)'],1
['(3981-1007)'],1
['(1255-150)'],1
['(303-309)'],1
['(372-231)'],1
['(372-295)'],1
['(372-2177)'],1
['(458-461)'],1
['(458-462)'],1
['(458-463)'],1
['(458-464)'],1
['(458-465)'],1
['(466-2447)'],1
['(466-2448)'],1
['(466-2449)'],1
['(466-2450)'],1
['(1984-361)'],1
['(1984-2113)'],1
['(2721-959)'],1
['(2721-1526)'],1
['(2721-2341)'],1
['(2721-2397)'],1
['(38-725)'],1
['(38-1376)'],1
['(38-1915)'],1
['(38-2002)'],1
['(2007-199)'],1
['(203-5973)'],1
['(203-5974)'],1
['(2007-203)'],1
['(527-1020)'],1
['(527-1171)'],1
['(527-1342)'],1
['(527-2671)'],1
['(527-2837)'],1
['(527-2935)'],1
['(527-3786)'],1
['(527-3840)'],1
['(527-4248)'],1
['(527-4455)'],1
['(527-4876)'],1
['(527-4979)'],1
['(527-4980)'],1
['(2007-527)'],1
['(3581-3750)'],1
['(2007-3581)'],1
['(2007-3785)'],1
['(2007-3787)'],1
['(2007-3788)'],1
['(2007-3789)'],1
['(38-2167)'],1
['(38-2168)'],1
['(38-2169)'],1
['(38-2170)'],1
['(2524-103)'],1
['(289-290)'],1
['(289-291)'],1
['(289-292)'],1
['(289-293)'],1
['(289-294)'],1
['(289-296)'],1
['(289-297)'],1
['(299-443)'],1
['(299-774)'],1
['(299-2035)'],1
['(299-2250)'],1
['(299-2251)'],1
['(2524-1252)'],1
['(867-53)'],1
['(867-470)'],1
['(1734-157)'],1
['(1734-814)'],1
['(1734-1808)'],1
['(2870-23)'],1
['(1431-3290)'],1
['(2870-1754)'],1
['(2870-2344)'],1
['(2778-3497)'],1
['(2870-2778)'],1
['(996-77)'],1
['(997-522)'],1
['(997-1829)'],1
['(997-2061)'],1
['(997-2383)'],1
['(997-2507)'],1
['(997-2902)'],1
['(181-182)'],1
['(181-183)'],1
['(181-184)'],1
['(181-185)'],1
['(181-186)'],1
['(181-187)'],1
['(181-188)'],1
['(181-189)'],1
['(181-190)'],1
['(191-2365)'],1
['(191-2366)'],1
['(191-2367)'],1
['(191-2368)'],1
['(191-2369)'],1
['(191-2371)'],1
['(191-2372)'],1
['(668-669)'],1
['(668-670)'],1
['(668-671)'],1
['(668-672)'],1
['(668-673)'],1
['(668-674)'],1
['(668-675)'],1
['(668-676)'],1
['(668-677)'],1
['(668-678)'],1
['(998-668)'],1
['(982-3028)'],1
['(982-3029)'],1
['(982-3030)'],1
['(982-3031)'],1
['(1735-982)'],1
['(1735-1736)'],1
